Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Leuze - Centre ville,7900 — Leuze-En-Hainaut,"€ 214,464",3 bedrooms,3 bedrooms,No,Semi equipped,To renovate,84 m² ,No
House for sale,Chaussée de Wavre 425 Box 1,"€ 215,000",2 bedrooms | 90 m² ,2 bedrooms,No,Installed,Good,109 m² ,No
House for sale,Parkstraat 11,"€ 215,000",5 bedrooms | 205 m² ,5 bedrooms,No,Hyper equipped,Good,110 m² ,No
House for sale,Rue de la Resistance 115,"€ 219,000",3 bedrooms | 105 m² ,3 bedrooms,No,Installed,Good,855 m² ,No
House for sale,Cite de l'Esperance 86,"€ 220,000",5 bedrooms | 170 m² ,5 bedrooms,No,Installed,Good,110 m² ,No
House for sale,Rue Royale 3,"€ 225,000",5 bedrooms | 325 m² ,5 bedrooms,No,Semi equipped,To be done up,150 m² ,No
House for sale,Langeweg 58,"€ 225,000",4 bedrooms | 173 m² ,4 bedrooms,No,Installed,As new,85 m² ,No
House for sale,Kloosterstraat 97,"€ 229,000",3 bedrooms | 157 m² ,3 bedrooms,No,Semi equipped,To renovate,85 m² ,No
TONGRE NOTRE DAME - 8 maisons,Rue Tour de la Vierge 1 - 8,"€ 229,900",3 bedrooms | 132 - 150 m² ,3 bedrooms,No,Semi equipped,To renovate,85 m² ,No
Mixed-use building for sale,Rue de Framont 2,"€ 230,000",3 bedrooms | 144 m² ,3 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,Rue de Framont 2,"€ 230,000",3 bedrooms | 144 m² ,3 bedrooms,No,Semi equipped,Good,150 m² ,No
Residentie Berghof,Bergstraat 8,"€ 232,948",3 - 4 bedrooms | 136 - 155 m² ,3 - 4 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,Langeweg 62,"€ 235,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,As new,101 m² ,No
House for sale,Rue de Bodegnee 4,"€ 248,000",4 bedrooms | 145 m² ,4 bedrooms,No,USA hyper equipped,Good,960 m² ,No
House for sale,Oppuursdorp 14,"€ 249,000",2 bedrooms | 135 m² ,2 bedrooms,No,Hyper equipped,Good,960 m² ,No
House for sale,Vieille Voie de Tongres 69,"€ 249,000",6 bedrooms | 252 m² ,6 bedrooms,No,Not installed,To be done up,653 m² ,No
House for sale,Rue du Bon Air 133,"€ 249,000",3 bedrooms | 159 m² ,3 bedrooms,No,Hyper equipped,Good,57 m² ,No
House for sale,Rue du Paradis 2,"€ 249,000",2 bedrooms | 135 m² ,2 bedrooms,No,Installed,Good,158 m² ,No
House for sale,Rue de Lanaye 96,"€ 249,000",3 bedrooms | 116 m² ,3 bedrooms,No,Not installed,To be done up,306 m² ,No
House for sale,Rue du Cheval Blanc 33 Box A,"€ 249,000",3 bedrooms | 139 m² ,3 bedrooms,No,Installed,Good,100 m² ,No
House for sale,Boulevard des Hauteurs 39,"€ 250,000",2 bedrooms | 103 m² ,2 bedrooms,No,Hyper equipped,Good,410 m² ,No
House for sale,Rue des Kessales 87,"€ 250,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,Good,349 m² ,No
Villa for sale,Allee du Beau Vivier 50,"€ 259,000",3 bedrooms | 92 m² ,3 bedrooms,Yes,Installed,To be done up,500 m² ,No
House for sale,Rue Chiff d'Or 93,"€ 259,000",4 bedrooms | 172 m² ,4 bedrooms,Yes,Installed,Good,765 m² ,No
House for sale,Rue de Lorraine 110,"€ 259,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,To be done up,300 m² ,No
Woonerf Velodroom,Heuvelgoor 17,"€ 264,252",2 - 3 bedrooms | 119 - 145 m² ,2 - 3 bedrooms,No,Installed,To be done up,300 m² ,No
House for sale,Rue Voie de Liege 146,"€ 269,000",4 bedrooms | 210 m² ,4 bedrooms,No,USA hyper equipped,As new,284 m² ,No
House for sale,Rue Alphonse Demunter 1,"€ 275,000",4 bedrooms | 150 m² ,4 bedrooms,No,Not installed,To renovate,284 m² ,No
House for sale,Kleine Molenstraat 27,"€ 275,000",3 bedrooms | 112 m² ,3 bedrooms,No,Installed,Just renovated,130 m² ,No
Apartment block for sale,Rue Saint Leonard 179,"€ 279,000",5 bedrooms | 237 m² ,5 bedrooms,No,Installed,Good,117 m² ,No
House for sale,Rue des Fontaines 130,"€ 279,000",4 bedrooms | 155 m² ,4 bedrooms,No,Installed,As new,310 m² ,No
Country house for sale,Rue Remikette 37,"€ 280,000",3 bedrooms | 120 m² ,3 bedrooms,No,Hyper equipped,As new,265 m² ,No
New real estate project - Houses for sale,Oostendse Baan 86,"€ 280,000",3 - 4 bedrooms | 138 - 157 m² ,3 - 4 bedrooms,No,Hyper equipped,As new,265 m² ,No
Project ROTTERIJ,9600 — Ronse,"€ 282,500",3 bedrooms | 125 - 147 m² ,3 bedrooms,No,Hyper equipped,As new,265 m² ,No
Gezellige nieuwbouw woonwijk te koop in Beveren-Le,Sint-Jansstraat,"€ 283,000",2 bedrooms | 157 - 173 m² ,2 bedrooms,No,Hyper equipped,As new,265 m² ,No
REGATTA WONINGEN,La Esterellastraat 11,"€ 284,000",2 - 3 bedrooms | 125 - 155 m² ,2 - 3 bedrooms,No,Hyper equipped,As new,265 m² ,No
House for sale,"Paul Janson 1,B","€ 285,000",3 bedrooms | 220 m² ,3 bedrooms,No,Hyper equipped,As new,50 m² ,No
New real estate project - Houses for sale,9000 — Gent,"€ 285,000",1 bedroom | 88 m² ,1 bedroom,No,Hyper equipped,As new,50 m² ,No
New real estate project - Houses for sale,Nederzwijnaarde 6,"€ 285,000",1 bedroom | 88 m² ,1 bedroom,No,Hyper equipped,As new,50 m² ,No
House for sale,Rue du Brouck 79,"€ 289,000",5 bedrooms | 242 m² ,5 bedrooms,No,Not installed,Good,598 m² ,No
Woonproject Zittaart Fase 3,2450 — Meerhout,"€ 295,000",3 bedrooms | 133 - 155 m² ,3 bedrooms,No,Not installed,Good,598 m² ,No
House for sale,Rue du Cimetière 22,"€ 295,000",4 bedrooms | 161 m² ,4 bedrooms,No,Not installed,To renovate,598 m² ,No
L'Orée de Seumay,1360 — Perwez,"€ 299,000",3 bedrooms | 158 - 189 m² ,3 bedrooms,No,Not installed,To renovate,598 m² ,No
